                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.78349,                0.43807,                 1.0168,                0.99346,                0.99743,                0.99265,                 0.8173,                0.73699,                0.32533,                  1.001,             0.00017659,             0.00017659,             0.00017659
                     50,                0.78872,                0.43822,                 1.0178,                0.99252,                 0.9977,                0.99334,                0.81808,                0.73218,                0.31582,                  1.002,              0.0001749,              0.0001749,              0.0001749
                     51,                0.79383,                0.44123,                 1.0184,                0.99291,                0.99776,                0.99298,                0.81488,                0.73977,                0.32461,                 1.0063,             0.00017321,             0.00017321,             0.00017321
                     52,                 0.7975,                0.43718,                 1.0181,                0.99254,                0.99714,                0.99314,                0.81576,                0.74175,                0.32495,                 1.0024,             0.00017152,             0.00017152,             0.00017152
                     53,                0.78628,                0.43249,                 1.0131,                0.99279,                 0.9977,                0.99254,                0.81687,                0.73145,                0.31013,                 1.0022,             0.00016983,             0.00016983,             0.00016983
                     54,                0.77929,                0.42803,                 1.0118,                0.99369,                 0.9977,                0.99308,                0.81458,                0.73727,                0.31193,                 1.0035,             0.00016814,             0.00016814,             0.00016814
                     55,                0.79195,                0.42672,                 1.0109,                0.99201,                 0.9977,                0.99293,                0.82187,                0.71714,                 0.3099,                0.99515,             0.00016645,             0.00016645,             0.00016645
                     56,                0.78617,                0.42665,                 1.0137,                0.99377,                 0.9977,                0.99355,                0.82147,                0.72213,                0.31015,                0.99596,             0.00016476,             0.00016476,             0.00016476
                     57,                0.78553,                0.42726,                 1.0139,                0.99405,                 0.9977,                0.99396,                0.82171,                0.71805,                0.30201,                0.99488,             0.00016307,             0.00016307,             0.00016307
                     58,                0.77918,                0.42059,                 1.0079,                0.99092,                0.99789,                0.99388,                0.82083,                0.72477,                0.30951,                0.99903,             0.00016138,             0.00016138,             0.00016138
                     59,                0.77043,                0.40955,                 1.0029,                0.99468,                 0.9977,                0.99377,                0.82292,                0.71959,                0.30014,                0.99571,             0.00015969,             0.00015969,             0.00015969
                     60,                0.75974,                0.40596,                 1.0002,                0.99431,                 0.9977,                0.99374,                0.81979,                0.72381,                 0.3041,                0.99553,               0.000158,               0.000158,               0.000158
                     61,                0.77494,                0.40852,                 1.0095,                0.99347,                0.99779,                0.99303,                0.82233,                0.72408,                0.30094,                0.99688,             0.00015631,             0.00015631,             0.00015631
                     62,                0.77695,                0.39835,                 1.0066,                0.99341,                0.99782,                0.99369,                0.82347,                0.71765,                0.29896,                0.99134,             0.00015462,             0.00015462,             0.00015462
                     63,                0.76112,                0.39927,                 1.0053,                0.99331,                0.99725,                0.99331,                0.82694,                0.71161,                0.29759,                   0.99,             0.00015293,             0.00015293,             0.00015293
                     64,                0.76443,                0.40094,                  1.006,                0.99442,                 0.9974,                0.99288,                0.82161,                0.72568,                0.29596,                0.99378,             0.00015124,             0.00015124,             0.00015124
                     65,                 0.7737,                0.39816,                 1.0035,                0.99195,                 0.9977,                0.99322,                 0.8294,                0.71141,                0.29706,                0.99116,             0.00014956,             0.00014956,             0.00014956
                     66,                 0.7708,                0.39851,                 1.0037,                0.99434,                0.99736,                0.99354,                0.82623,                0.71284,                0.29759,                0.99075,             0.00014787,             0.00014787,             0.00014787
                     67,                0.76607,                0.38743,                 0.9985,                0.99302,                0.99746,                0.99272,                0.82422,                0.71272,                0.29067,                0.99039,             0.00014618,             0.00014618,             0.00014618
                     68,                0.77193,                0.39626,                 1.0115,                0.99364,                 0.9977,                0.99273,                0.82513,                0.71615,                0.29203,                0.99115,             0.00014449,             0.00014449,             0.00014449
                     69,                0.76724,                0.39404,                 1.0022,                0.99432,                 0.9977,                0.99325,                0.82526,                0.71704,                0.29844,                0.99352,              0.0001428,              0.0001428,              0.0001428
                     70,                0.75952,                0.39452,                 1.0031,                0.99369,                 0.9977,                0.99271,                0.82575,                0.70739,                0.29188,                0.99028,             0.00014111,             0.00014111,             0.00014111
                     71,                0.75796,                0.38477,                0.99889,                 0.9941,                 0.9977,                  0.993,                0.82632,                0.71265,                0.29574,                0.99137,             0.00013942,             0.00013942,             0.00013942
                     72,                0.76499,                0.39168,                0.99605,                0.99496,                0.99778,                0.99334,                0.82649,                0.70632,                0.29184,                0.98762,             0.00013773,             0.00013773,             0.00013773
                     73,                0.75799,                0.38958,                 1.0005,                0.99425,                 0.9977,                0.99317,                 0.8277,                0.70662,                0.29234,                0.98944,             0.00013604,             0.00013604,             0.00013604
                     74,                0.76154,                0.38673,                 1.0029,                0.99386,                0.99761,                0.99265,                 0.8313,                0.70511,                0.29141,                0.98807,             0.00013435,             0.00013435,             0.00013435
                     75,                0.76132,                0.38064,                0.99766,                0.99276,                0.99761,                0.99332,                0.83074,                0.70148,                0.28911,                0.98461,             0.00013266,             0.00013266,             0.00013266
                     76,                 0.7644,                0.39009,                 1.0082,                0.99407,                 0.9971,                0.99361,                0.82814,                0.70317,                0.28715,                0.98462,             0.00013097,             0.00013097,             0.00013097
                     77,                0.75184,                0.37566,                 0.9976,                0.99426,                 0.9977,                 0.9935,                0.83214,                0.69638,                0.28455,                0.98253,             0.00012928,             0.00012928,             0.00012928
                     78,                 0.7475,                0.37602,                0.99136,                0.99476,                0.99741,                0.99376,                0.83358,                0.69648,                0.28586,                0.98324,             0.00012759,             0.00012759,             0.00012759
                     79,                0.74631,                0.38047,                0.99665,                0.99397,                0.99779,                0.99332,                0.82948,                0.69624,                0.28368,                0.98281,              0.0001259,              0.0001259,              0.0001259
                     80,                0.73834,                0.37452,                0.98963,                0.99439,                0.99657,                0.99309,                0.83232,                0.69208,                0.28373,                0.98096,             0.00012421,             0.00012421,             0.00012421
                     81,                0.73769,                0.36841,                0.98815,                0.99289,                0.99787,                0.99346,                0.83398,                0.69333,                0.28483,                0.98089,             0.00012252,             0.00012252,             0.00012252
                     82,                0.75487,                 0.3752,                0.99814,                0.99393,                0.99765,                 0.9937,                0.83422,                0.69173,                0.27894,                0.98075,             0.00012083,             0.00012083,             0.00012083
                     83,                0.74005,                0.36838,                0.98951,                0.99407,                0.99679,                0.99319,                0.83702,                0.68803,                0.27437,                0.97754,             0.00011914,             0.00011914,             0.00011914
                     84,                0.75412,                0.37038,                0.99589,                0.99404,                0.99749,                0.99315,                0.83632,                0.68895,                0.28073,                0.97927,             0.00011745,             0.00011745,             0.00011745
                     85,                0.74166,                0.36942,                0.98884,                 0.9939,                 0.9977,                0.99292,                0.83421,                0.68689,                0.28044,                0.97764,             0.00011576,             0.00011576,             0.00011576
                     86,                0.74965,                0.36833,                0.99495,                0.99327,                0.99776,                 0.9934,                0.83693,                0.68595,                0.27543,                0.97778,             0.00011407,             0.00011407,             0.00011407
                     87,                 0.7511,                 0.3725,                 0.9934,                0.99444,                 0.9977,                0.99343,                 0.8314,                0.69921,                0.27867,                0.98441,             0.00011238,             0.00011238,             0.00011238
                     88,                 0.7465,                 0.3669,                0.99282,                0.99494,                0.99775,                0.99376,                0.83804,                0.68275,                0.27075,                0.97562,             0.00011069,             0.00011069,             0.00011069
                     89,                0.74135,                0.36165,                 0.9916,                0.99436,                0.99741,                0.99377,                0.83702,                0.69023,                0.27231,                0.98082,               0.000109,               0.000109,               0.000109
                     90,                 0.7347,                0.35901,                0.98962,                  0.994,                0.99777,                0.99281,                0.83801,                0.68177,                0.27407,                0.97592,             0.00010732,             0.00010732,             0.00010732
                     91,                0.73108,                 0.3595,                0.99119,                0.99428,                0.99759,                0.99381,                0.83851,                0.68522,                0.27421,                0.97765,             0.00010563,             0.00010563,             0.00010563
                     92,                 0.7388,                0.35814,                0.99503,                0.99383,                0.99696,                0.99338,                0.83795,                0.68328,                0.27473,                0.97618,             0.00010394,             0.00010394,             0.00010394
                     93,                0.73819,                0.36119,                0.98987,                0.99423,                0.99778,                0.99275,                0.83811,                0.68064,                0.26941,                0.97455,             0.00010225,             0.00010225,             0.00010225
                     94,                0.73189,                 0.3568,                0.99116,                 0.9935,                0.99706,                0.99247,                 0.8353,                0.68626,                0.27256,                0.97761,             0.00010056,             0.00010056,             0.00010056
                     95,                0.73746,                0.35767,                0.98808,                0.99245,                 0.9977,                0.99305,                0.84052,                0.67535,                0.26546,                0.97139,             9.8867e-05,             9.8867e-05,             9.8867e-05
                     96,                0.73091,                0.36005,                0.98649,                0.99472,                0.99696,                0.99346,                0.84261,                 0.6723,                 0.2655,                0.97007,             9.7178e-05,             9.7178e-05,             9.7178e-05
                     97,                 0.7373,                0.35339,                0.99213,                0.99379,                 0.9977,                0.99281,                0.84166,                0.67171,                0.26551,                 0.9698,             9.5488e-05,             9.5488e-05,             9.5488e-05
                     98,                0.72938,                0.35886,                0.99267,                0.99308,                0.99759,                0.99277,                0.84037,                0.67603,                0.26338,                0.97235,             9.3798e-05,             9.3798e-05,             9.3798e-05
                     99,                0.73192,                0.35401,                0.99123,                0.99422,                0.99707,                0.99263,                0.83669,                0.67624,                0.26562,                0.97111,             9.2109e-05,             9.2109e-05,             9.2109e-05
                    100,                0.72394,                0.35193,                0.98728,                0.99406,                 0.9977,                 0.9928,                0.84313,                0.66951,                0.26423,                0.96759,             9.0419e-05,             9.0419e-05,             9.0419e-05
                    101,                0.72527,                0.35299,                0.98436,                0.99352,                0.99685,                0.99315,                0.84264,                0.66768,                0.26351,                0.96743,              8.873e-05,              8.873e-05,              8.873e-05
                    102,                 0.7346,                0.35912,                0.98609,                 0.9946,                0.99674,                0.99284,                 0.8404,                 0.6698,                0.26487,                0.96956,              8.704e-05,              8.704e-05,              8.704e-05
                    103,                0.71885,                0.34618,                 0.9838,                0.99382,                0.99668,                0.99335,                0.84153,                0.66766,                0.26291,                0.96746,              8.535e-05,              8.535e-05,              8.535e-05
                    104,                0.72596,                0.34775,                0.98183,                0.99277,                0.99699,                0.99357,                0.84634,                0.66034,                0.26027,                0.96448,             8.3661e-05,             8.3661e-05,             8.3661e-05
                    105,                0.72563,                0.34514,                0.97899,                 0.9936,                0.99711,                0.99243,                0.84269,                0.66187,                0.25829,                0.96461,             8.1971e-05,             8.1971e-05,             8.1971e-05
                    106,                0.71584,                0.34691,                0.97354,                  0.994,                 0.9978,                0.99317,                0.84361,                0.66373,                0.25819,                0.96603,             8.0282e-05,             8.0282e-05,             8.0282e-05
                    107,                0.72142,                0.34493,                0.98289,                0.99304,                0.99753,                0.99334,                0.84328,                0.66615,                0.26156,                0.96642,             7.8592e-05,             7.8592e-05,             7.8592e-05
                    108,                0.71342,                0.33924,                 0.9782,                0.99453,                 0.9976,                0.99347,                0.84409,                0.66461,                0.25724,                0.96609,             7.6902e-05,             7.6902e-05,             7.6902e-05
                    109,                0.71849,                0.34311,                0.98212,                0.99427,                 0.9971,                0.99276,                0.84314,                0.66298,                0.26286,                0.96395,             7.5213e-05,             7.5213e-05,             7.5213e-05
                    110,                0.71054,                0.34442,                0.97906,                0.99335,                0.99665,                0.99311,                0.84492,                0.66004,                0.25807,                0.96461,             7.3523e-05,             7.3523e-05,             7.3523e-05
                    111,                0.71103,                0.34482,                0.98137,                0.99421,                0.99655,                0.99311,                0.84647,                0.65868,                0.25673,                 0.9629,             7.1834e-05,             7.1834e-05,             7.1834e-05
                    112,                0.71308,                0.33582,                0.97964,                0.99477,                0.99692,                0.99321,                0.84767,                0.65618,                0.25526,                0.96275,             7.0144e-05,             7.0144e-05,             7.0144e-05
                    113,                0.70235,                0.33504,                0.97637,                0.99481,                 0.9977,                0.99271,                0.84772,                0.65665,                0.25469,                0.96313,             6.8454e-05,             6.8454e-05,             6.8454e-05
                    114,                0.69659,                0.32933,                0.96854,                0.99438,                0.99711,                0.99243,                0.84771,                0.65443,                0.25446,                0.96104,             6.6765e-05,             6.6765e-05,             6.6765e-05
                    115,                0.71211,                0.33807,                0.97888,                0.99514,                0.99693,                0.99266,                0.84953,                0.65006,                 0.2522,                0.95857,             6.5075e-05,             6.5075e-05,             6.5075e-05
                    116,                0.71253,                0.34135,                0.97906,                0.99435,                0.99776,                0.99282,                0.84841,                0.65391,                 0.2554,                0.95984,             6.3386e-05,             6.3386e-05,             6.3386e-05
                    117,                0.70026,                0.33412,                0.98033,                0.99494,                 0.9977,                0.99297,                0.85155,                 0.6499,                 0.2516,                0.95795,             6.1696e-05,             6.1696e-05,             6.1696e-05
                    118,                0.70061,                 0.3345,                0.97496,                 0.9949,                  0.997,                0.99394,                 0.8494,                0.65134,                0.25105,                0.95836,             6.0006e-05,             6.0006e-05,             6.0006e-05
                    119,                0.70638,                0.32916,                0.98035,                0.99423,                0.99746,                0.99351,                0.85044,                 0.6519,                0.25205,                0.95889,             5.8317e-05,             5.8317e-05,             5.8317e-05
                    120,                0.70053,                0.32625,                0.97361,                0.99469,                0.99703,                 0.9942,                0.84849,                0.65448,                0.25184,                0.96094,             5.6627e-05,             5.6627e-05,             5.6627e-05
                    121,                0.69468,                0.32874,                0.97143,                 0.9951,                  0.997,                0.99345,                0.85038,                0.64566,                0.24929,                0.95744,             5.4938e-05,             5.4938e-05,             5.4938e-05
                    122,                0.69128,                0.33408,                0.97094,                0.99478,                0.99774,                0.99348,                0.85192,                0.64554,                0.24986,                0.95699,             5.3248e-05,             5.3248e-05,             5.3248e-05
                    123,                0.68642,                0.32862,                0.96996,                0.99471,                0.99676,                0.99356,                0.85063,                0.64665,                0.24782,                0.95702,             5.1558e-05,             5.1558e-05,             5.1558e-05
                    124,                0.69604,                0.33624,                0.96928,                0.99461,                0.99684,                0.99299,                0.85128,                0.64422,                0.24877,                0.95527,             4.9869e-05,             4.9869e-05,             4.9869e-05
                    125,                0.70335,                0.32905,                0.98557,                0.99475,                0.99699,                0.99274,                 0.8522,                0.64229,                 0.2482,                  0.955,             4.8179e-05,             4.8179e-05,             4.8179e-05
